tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
,Curry,D. Green,GSW,1,D. Green,GSW,0022500127
,Mobley,E. Mobley,CLE,1,E. Mobley,CLE,0022500128
,Suggs,C. Cunningham,DET,0,D. Bane,ORL,0022500129
,Saraf,N. Claxton,BKN,1,N. Claxton,BKN,0022500130
,Smith Jr.,K. Durant,HOU,0,B. Ingram,TOR,0022500131
,Jones,M. Buzelis,CHI,0,D. Sabonis,SAC,0022500132
,Flagg,K. Thompson,DAL,0,P. Siakam,IND,0022500133
,Gordon,N. Jokić,DEN,1,N. Jokić,DEN,0022500134
,George,S. Mykhailiuk,UTA,0,S. Mykhailiuk,UTA,0022500135
,LaRavia,J. Randle,MIN,0,J. LaRavia,LAL,0022500136
,Dunn,M. Williams,PHX,1,M. Williams,PHX,0022500137
,Banchero,M. Bridges,CHA,0,F. Wagner,ORL,0022500138
,Rollins,R. Rollins,MIL,1,R. Rollins,MIL,0022500139
,Coulibaly,A. Sarr,WAS,0,K. Middleton,WAS,0022500140
,Vassell,D. Vassell,SAS,1,D. Vassell,SAS,0022500141
MIL,G. Antetokounmpo,A. Green,MIL,1,A. Green,MIL,0022500142
,Randle,D. DiVincenzo,MIN,0,J. McDaniels,MIN,0022500143
,Siakam,I. Jackson,IND,0,A. Nesmith,IND,0022500144
,Suggs,J. Suggs,ORL,0,K. George,WAS,0022500145
,Smith Jr.,K. Durant,HOU,1,K. Durant,HOU,0022500146
,Christie,C. Flagg,DAL,0,A. Thompson,DET,0022500147
,Wiggins,J. Williams,OKC,0,J. Fears,NOP,0022500148
,Walker,T. Maxey,PHI,1,T. Maxey,PHI,0022500149
,Mykhailiuk,L. Markkanen,UTA,0,L. Markkanen,UTA,0022500150
,Johnson,D. Hunter,CLE,1,D. Hunter,CLE,0022500151
,Caldwell-Pope,C. Murray-Boyles,TOR,0,I. Quickley,TOR,0022500152
,Brunson,O. Anunoby,NYK,1,O. Anunoby,NYK,0022500153
,Castle,D. Booker,PHX,0,D. Vassell,SAS,0022500154
,Doncic,R. Hachimura,LAL,1,R. Hachimura,LAL,0022500155
,Conley,C. Thomas,BKN,0,C. Thomas,BKN,0022500156
,Nesmith,Q. Jackson,IND,0,G. Antetokounmpo,MIL,0022500157
,Markkanen,J. Nurkić,UTA,0,N. Queta,BOS,0022500158
,Champagnie,A. Sarr,WAS,0,K. Towns,NYK,0022500159
,Flagg,M. Christie,DAL,1,M. Christie,DAL,0022500160
,Thompson,I. Stewart,DET,0,J. Duren,DET,0022500161
,Murray,N. Jokić,DEN,1,N. Jokić,DEN,0022500162
,Smart,M. Smart,LAL,1,M. Smart,LAL,0022500163
,Powell,B. Adebayo,MIA,1,B. Adebayo,MIA,0022500164
,Ingram,R. Barrett,TOR,1,R. Barrett,TOR,0022500165
,Banchero,W. Carter Jr.,ORL,1,W. Carter Jr.,ORL,0022500166
,Edgecombe,K. Oubre Jr.,PHI,1,K. Oubre Jr.,PHI,0022500167
,Sexton,K. Knueppel,CHA,0,J. Fears,NOP,0022500168
,Allen,G. Allen,PHX,0,G. Allen,PHX,0022500169
,Wallace,C. Holmgren,OKC,0,J. Harden,LAC,0022500170
,Tyson,D. Mitchell,CLE,0,J. Tyson,CLE,0022500171
,Robinson,A. Thompson,DET,1,A. Thompson,DET,0022500172
,Mann,M. Porter Jr.,BKN,1,M. Porter Jr.,BKN,0022500173
,Champagnie,C. McCollum,WAS,0,N. Queta,BOS,0022500174
,Brunson,J. Randle,MIN,1,J. Randle,MIN,0022500175
,Caldwell-Pope,J. Morant,MEM,0,J. Wells,MEM,0022500176
,Russell,C. Flagg,DAL,0,S. Bey,NOP,0022500177
,Powell,N. Powell,MIA,1,N. Powell,MIA,0022500178
,Champagnie,H. Barnes,SAS,0,V. Wembanyama,SAS,0022500179
,Mitchell,A. Wiggins,OKC,0,A. Mitchell,OKC,0022500180
,Richard,B. Podziemski,GSW,0,M. Moody,GSW,0022500181
,Allen,M. Williams,PHX,0,M. Williams,PHX,0022500182
,McCollum,A. Sarr,WAS,0,A. Sarr,WAS,0022500183
,Quickley,S. Barnes,TOR,1,S. Barnes,TOR,0022500184
,Hachimura,Z. Risacher,ATL,1,Z. Risacher,ATL,0022500185
,Mitchell,D. Hunter,CLE,1,D. Hunter,CLE,0022500186
,Wiggins,A. Wiggins,MIA,0,D. Avdija,POR,0022500187
,Castle,H. Barnes,SAS,0,D. Vassell,SAS,0022500188
,Watson,A. Nembhard,IND,0,I. Jackson,IND,0022500189
,Booker,G. Allen,PHX,1,G. Allen,PHX,0022500190
MIL,G. Antetokounmpo,G. Trent Jr.,MIL,1,G. Trent Jr.,MIL,0022500191
,Brunson,J. Brunson,NYK,0,K. Towns,NYK,0022500192
,Wagner,W. Carter Jr.,ORL,1,W. Carter Jr.,ORL,0022500193
,Gilgeous-Alexander,I. Hartenstein,OKC,1,I. Hartenstein,OKC,0022500194
,Oubre Jr.,K. Oubre Jr.,PHI,1,K. Oubre Jr.,PHI,0022500195
,Green,Q. Post,GSW,0,Q. Post,GSW,0022500196
,McDaniels,A. Edwards,MIN,0,R. Gobert,MIN,0022500197
,Kalkbrenner,D. Ayton,LAL,1,D. Ayton,LAL,0022500198
,Holland II,C. Cunningham,DET,1,C. Cunningham,DET,0022500199
,,T. Camara,POR,1,T. Camara,POR,0022500200
,Powell,N. Powell,MIA,0,D. Hunter,CLE,0022500201
