tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
LAC,Harden,J. Collins,LAC,0,B. Adebayo,MIA,0022500313
ORL,Suggs,W. Carter Jr.,ORL,1,W. Carter Jr.,ORL,0022500314
DAL,Flagg,A. Davis,DAL,0,J. Murray,DEN,0022500315
UTA,George,A. Bailey,UTA,0,J. Nurkić,UTA,0022500316
PHX,Gillespie,L. Dončić,LAL,1,L. Dončić,LAL,0022500317
PHI,Edgecombe,P. George,PHI,0,D. Barlow,PHI,0022500318
TOR,Ingram,I. Quickley,TOR,1,I. Quickley,TOR,0022500319
BOS,Pritchard,P. Pritchard,BOS,0,J. Hart,NYK,0022500320
MIN,Edwards,R. Gobert,MIN,1,R. Gobert,MIN,0022500321
SAS,Barnes,J. Wells,MEM,0,J. Wells,MEM,0022500322
,Jal. Williams,J. Williams,OKC,1,J. Williams,OKC,0022500323
POR,Avdija,J. Grant,POR,0,D. Mitchell,CLE,0022500324
IND,Nembhard,A. Nembhard,IND,0,A. Nembhard,IND,0022500325
SAS,Fox,D. Vassell,SAS,0,D. Vassell,SAS,0022500326
LAC,Harden,K. Leonard,LAC,0,N. Alexander-Walker,ATL,0022500327
NYK,Brunson,J. Brunson,NYK,0,K. Towns,NYK,0022500328
CHI,Buzelis,J. Phillips,CHI,0,M. Porter Jr.,BKN,0022500329
HOU,Smith Jr.,A. Thompson,HOU,1,A. Thompson,HOU,0022500330
,G. Antetokounmpo,R. Rollins,MIL,0,T. Harris,DET,0022500331
MIA,Herro,B. Adebayo,MIA,1,B. Adebayo,MIA,0022500332
PHI,Edgecombe,J. Embiid,PHI,1,J. Embiid,PHI,0022500333
BOS,Pritchard,N. Queta,BOS,1,N. Queta,BOS,0022500334
,Demin,E. Dëmin,BKN,0,L. Markkanen,UTA,0022500335
LAL,Vincent,A. Reaves,LAL,1,A. Reaves,LAL,0022500336
MIN,DiVincenzo,D. DiVincenzo,MIN,1,D. DiVincenzo,MIN,0022500337
LAL,LaRavia,A. Reaves,LAL,0,J. Walsh,BOS,0022500338
ORL,Wagner,J. Suggs,ORL,1,J. Suggs,ORL,0022500339
,,C. Johnson,DEN,0,D. Daniels,ATL,0022500340
SAS,Fox,B. Biyombo,SAS,1,B. Biyombo,SAS,0022500341
DET,Robinson,S. Cissoko,POR,0,J. Grant,POR,0022500342
UTA,George,J. Brunson,NYK,0,K. Towns,NYK,0022500343
TOR,Barnes,S. Barnes,TOR,1,S. Barnes,TOR,0022500344
CHI,White,P. Siakam,IND,0,C. White,CHI,0022500345
PHX,Allen,D. Brooks,PHX,1,D. Brooks,PHX,0022500346
MEM,Williams Jr.,J. Wells,MEM,1,J. Wells,MEM,0022500347
PHI,Maxey,T. Maxey,PHI,1,T. Maxey,PHI,0022500348
DAL,Nembhard,R. Nembhard,DAL,1,R. Nembhard,DAL,0022500349
BKN,Mann,N. Claxton,BKN,1,N. Claxton,BKN,0022500350
WAS,George,C. McCollum,WAS,1,C. McCollum,WAS,0022500351
CLE,Hunter,E. Mobley,CLE,1,E. Mobley,CLE,0022500352
DET,Stewart,I. Stewart,DET,0,C. Cunningham,DET,0022500353
MIA,Smith,K. Ware,MIA,0,A. Wiggins,MIA,0022500354
MIN,Randle,A. Edwards,MIN,1,A. Edwards,MIN,0022500355
DAL,Flagg,A. Davis,DAL,0,C. Capela,HOU,0022500356
NYK,Hart,M. Bridges,NYK,1,M. Bridges,NYK,0022500357
TOR,Ingram,J. Brown,BOS,0,D. White,BOS,0022500358
CHA,Simpson,B. Miller,CHA,0,J. Murray,DEN,0022500359
MEM,Williams Jr.,J. Wells,MEM,0,C. Coward,MEM,0022500360
CHI,Buzelis,A. Dosunmu,CHI,0,B. Hield,GSW,0022500361
,Doncic,L. Dončić,LAL,1,L. Dončić,LAL,0022500362
,Jay. Williams,C. Wallace,OKC,0,J. Williams,OKC,0022500363
