tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
IND,Clark,A. Thomas,PHX,0,K. Mitchell,IND,1022600128
WAS,Iriafen,S. Citron,WAS,1,S. Citron,WAS,1022600129
PDX,Carleton,M. Gustafson,PDX,1,M. Gustafson,PDX,1022600130
ATL,Canada,R. Howard,ATL,1,R. Howard,ATL,1022600131
TOR,Mabrey,M. Mabrey,TOR,1,M. Mabrey,TOR,1022600132
LVA,Young,A. Fudd,DAL,1,A. Fudd,DAL,1022600133
NYL,Fiebich,L. Fiebich,NYL,1,L. Fiebich,NYL,1022600134
,,B. Griner,CON,0,S. Austin,WAS,1022600135
PDX,Gustafson,A. Stevens,CHI,0,M. Gustafson,PDX,1022600136
ATL,Hillmon,A. Gray,ATL,0,K. Stokes,GSV,1022600137
PHX,Copper,L. Held,PHX,0,K. Nurse,TOR,1022600138
LAS,Atkins,D. Hamby,LAS,0,N. Ogwumike,LAS,1022600139
SEA,Hiedeman,N. Hiedeman,SEA,0,D. Malonga,SEA,1022600140
,,O. Miles,MIN,0,A. Kuier,DAL,1022600141
WAS,Citron,K. Iriafen,WAS,0,E. Engstler,PDX,1022600142
CHI,Jaquez,A. Stevens,CHI,0,K. Cardoso,CHI,1022600143
NYL,Fiebich,J. Jones,NYL,0,C. Zandalasini,GSV,1022600144
WAS,Iriafen,S. Austin,WAS,1,S. Austin,WAS,1022600145
CON,Miller,A. Ogunbowale,DAL,1,A. Ogunbowale,DAL,1022600146
SEA,Johnson,A. Fam,SEA,1,A. Fam,SEA,1022600147
MIN,McBride,O. Miles,MIN,0,O. Miles,MIN,1022600148
LVA,Young,N. Smith,LVA,1,N. Smith,LVA,1022600149
ATL,Canada,R. Howard,ATL,0,C. Zandalasini,GSV,1022600150
SEA,Fam,A. Fam,SEA,0,J. Melbourne,SEA,1022600151
DAL,Fudd,J. Shepard,DAL,0,A. Fudd,DAL,1022600152
IND,Billings,A. Boston,IND,0,L. Hull,IND,1022600153
WAS,Iriafen,S. Austin,WAS,1,S. Austin,WAS,1022600154
CON,Miller,B. Griner,CON,0,L. Lacan,CON,1022600155
LAS,Ogwumike,D. Hamby,LAS,1,D. Hamby,LAS,1022600156
DAL,Shepard,J. Shepard,DAL,1,J. Shepard,DAL,1022600157
PHX,Copper,K. Copper,PHX,1,K. Copper,PHX,1022600158
TOR,Conde,I. Harrison,TOR,0,I. Harrison,TOR,1022600159
CON,Miller,C. Leger-Walker,CON,1,C. Leger-Walker,CON,1022600160
IND,Clark,C. Clark,IND,0,M. Billings,IND,1022600161
ATL,Howard,R. Howard,ATL,0,N. Hiedeman,SEA,1022600162
IND,Mitchell,K. Mitchell,IND,0,T. Harris,IND,1022600163
LVA,Gray,S. Talbot,LVA,0,A. Wilson,LVA,1022600164
CON,Leger-Walker,O. Nelson-Ododa,CON,1,O. Nelson-Ododa,CON,1022600165
TOR,Juskaite,L. Juskaite,TOR,0,J. Shepard,DAL,1022600166
CHI,Cloud,N. Cloud,CHI,0,D. Hamby,LAS,1022600167
NYL,Gardner,J. Jones,NYL,0,B. Stewart,NYL,1022600168
PHX,Thomas,V. Ayayi,PHX,0,J. Young,LVA,1022600169
,,A. Gray,ATL,0,M. Gustafson,PDX,1022600170
TOR,Allemand,M. Mabrey,TOR,0,L. Juskaite,TOR,1022600171
SEA,Melbourne,F. Johnson,SEA,0,N. Hiedeman,SEA,1022600172
DAL,Shepard,C. Vandersloot,CHI,1,C. Vandersloot,CHI,1022600173
IND,Clark,A. Boston,IND,1,A. Boston,IND,1022600174
ATL,Canada,R. Howard,ATL,1,R. Howard,ATL,1022600175
PHX,Thomas,A. Thomas,PHX,1,A. Thomas,PHX,1022600176
CON,Miller,O. Nelson-Ododa,CON,0,S. Barker,PDX,1022600177
WAS,Amoore,M. Onyenwere,WAS,0,K. Iriafen,WAS,1022600178
CHI,Taylor,A. Stevens,CHI,1,A. Stevens,CHI,1022600179
,Williams,O. Miles,MIN,0,N. Ogwumike,LAS,1022600180
GSV,Burton,C. Clark,IND,0,G. Williams,GSV,1022600181
WAS,Amoore,M. Onyenwere,WAS,0,M. Onyenwere,WAS,1022600182
NYL,Stewart,B. Stewart,NYL,0,J. Jones,NYL,1022600183
SEA,Melbourne,K. Mitchell,IND,1,K. Mitchell,IND,1022600184
TOR,Juskaite,I. Harrison,TOR,0,M. Mabrey,TOR,1022600185
CHI,Vandersloot,K. Cardoso,CHI,0,E. Wheeler,LAS,1022600186
CON,Nelson-Ododa,B. Griner,CON,1,B. Griner,CON,1022600187
IND,Billings,B. Stewart,NYL,0,P. Astier,NYL,1022600188
PDX,Barker,B. Carleton,PDX,0,N. Howard,MIN,1022600189
GSV,Zandalasini,C. Zandalasini,GSV,1,C. Zandalasini,GSV,1022600190
,,P. Bueckers,DAL,0,N. Ogwumike,LAS,1022600191
CHI,Vandersloot,A. Stevens,CHI,0,A. Gray,ATL,1022600192
CON,Nelson-Ododa,O. Nelson-Ododa,CON,0,O. Nelson-Ododa,CON,1022600193
TOR,Mabrey,L. Juskaite,TOR,0,M. Conde,TOR,1022600194
GSV,Burton,C. Zandalasini,GSV,1,C. Zandalasini,GSV,1022600195
SEA,Hiedeman,O. Miles,MIN,1,O. Miles,MIN,1022600196
PHX,Thomas,D. Bonner,PHX,1,D. Bonner,PHX,1022600197
SEA,Hiedeman,D. Malonga,SEA,0,N. Howard,MIN,1022600198
NYL,Ionescu,J. Jones,NYL,1,J. Jones,NYL,1022600199
LVA,Wilson,C. Gray,LVA,1,C. Gray,LVA,1022600200
CON,Morrow,A. Morrow,CON,1,A. Morrow,CON,1022600201
PDX,Barker,S. Barker,PDX,1,S. Barker,PDX,1022600202
CON,Morrow,C. Leger-Walker,CON,0,S. Austin,WAS,1022600203
TOR,Allemand,M. Conde,TOR,1,M. Conde,TOR,1022600204
IND,Clark,C. Clark,IND,1,C. Clark,IND,1022600205
LVA,Young,A. Wilson,LVA,1,A. Wilson,LVA,1022600206
NYL,Astier,S. Ionescu,NYL,1,S. Ionescu,NYL,1022600207
DAL,Shepard,J. Shepard,DAL,1,J. Shepard,DAL,1022600208
GSV,Burton,C. Zandalasini,GSV,0,A. Thomas,PHX,1022600209
TOR,Conde,M. Conde,TOR,1,M. Conde,TOR,1022600210
CHI,Taylor,K. Cardoso,CHI,0,K. Cardoso,CHI,1022600211
NYL,Astier,B. Stewart,NYL,1,B. Stewart,NYL,1022600212
SEA,Hiedeman,N. Hiedeman,SEA,0,D. Malonga,SEA,1022600213
WAS,Onyenwere,S. Austin,WAS,0,S. Austin,WAS,1022600214
IND,Mitchell,M. Billings,IND,0,A. Boston,IND,1022600215
CHI,Vandersloot,K. Cardoso,CHI,0,J. Young,LVA,1022600216
NYL,Stewart,S. Ionescu,NYL,1,S. Ionescu,NYL,1022600217
IND,Billings,A. Boston,IND,1,A. Boston,IND,1022600218
LAS,Burrell,D. Hamby,LAS,1,D. Hamby,LAS,1022600219
CON,Burke,K. Burke,CON,0,D. Miller,CON,1022600220
GSV,Burton,C. Zandalasini,GSV,1,C. Zandalasini,GSV,1022600221
